acct_no,product_id,sub_product_id,pri_terr,sec_terr
ST1414864,1,0,100429,
ST1415434,1,0,100429,
ST1415704,1,0,,103284
ST1415710,1,0,100823,
ST1416125,1,0,100424,
ST1416190,1,0,100424,
ST1416415,1,0,100429,
ST1416865,1,0,100424,
ST1417945,1,0,100429,
ST1418414,1,0,100429,
ST1418850,1,0,100429,
ST1419045,1,0,100429,
ST1419140,1,0,103974,
ST1419154,1,0,,103284
ST1420180,1,0,100429,
ST1420264,1,0,100429,
ST1420505,1,0,100823,
ST1420535,1,0,100429,
ST1422270,1,0,100823,
ST1422564,1,0,100424,
ST1422920,1,0,103974,
ST1423320,1,0,107951,
ST1423500,1,0,100429,
ST1424534,1,0,,102867
ST1424750,1,0,100424,
ST1425994,1,0,100424,
ST1426710,1,0,100429,
ST1428514,1,0,100429,
ST1428600,1,0,100429,
ST1433074,1,0,100429,
ST1433304,1,0,100424,
ST1433354,1,0,103974,
ST1434430,1,0,100429,
ST1435484,1,0,100429,
ST1435894,1,0,100424,
ST1436584,1,0,100424,
ST1438534,1,0,100429,
ST1438680,1,0,102505,
ST1439694,1,0,100429,
ST1440064,1,0,100433,
ST1441520,1,0,103974,
ST1441664,1,0,100822,
ST1444080,1,0,100424,
ST1444100,1,0,100429,
ST1444724,1,0,100429,
ST1445430,1,0,100429,
ST1445480,1,0,100424,
ST1446780,1,0,100424,
ST1446964,1,0,100429,
ST1448714,1,0,100429,
ST1448744,1,0,100429,
ST1449854,1,0,100429,
ST1450594,1,0,102505,
ST1450774,1,0,100424,
ST1451070,1,0,100429,
ST1453110,1,0,102524,
ST1454170,1,0,100429,
ST1454624,1,0,100429,
ST1455664,1,0,100429,
ST1456744,1,0,100429,
ST1459120,1,0,100429,
ST1459664,1,0,100424,
ST1459760,1,0,100429,
ST1460400,1,0,103974,
ST1461320,1,0,100429,
ST1463564,1,0,100429,
ST1466430,1,0,100424,
ST1467797,1,0,100424,
ST1468597,1,0,100424,
ST1468634,1,0,100424,
ST1469370,1,0,102505,
ST1469954,1,0,107951,
ST1470050,1,0,100424,
ST1470234,1,0,100429,
ST1470507,1,0,100424,
ST1471197,1,0,100426,
ST1471377,1,0,100429,
ST1473470,1,0,100429,
ST1474014,1,0,100429,
ST1474244,1,0,100426,
ST1475270,1,0,102505,
ST1475520,1,0,100335,
ST1477820,1,0,100823,
ST1478360,1,0,100424,
ST1480495,1,0,100429,
ST1481085,1,0,100424,
ST1481374,1,0,100429,
ST1481814,1,0,100429,
ST1482685,1,0,100429,
ST1483095,1,0,100429,
ST1483145,1,0,100424,
ST1484214,1,0,100429,
ST1484535,1,0,100429,
ST1484994,1,0,,102873
ST1485205,1,0,100424,
ST1485430,1,0,103974,
ST1486154,1,0,100429,
ST1486710,1,0,100429,
ST1487175,1,0,100424,
ST1488685,1,0,100429,
ST1488735,1,0,102525,
ST1489180,1,0,103974,
ST1489190,1,0,103974,
ST1489394,1,0,108099,
ST1489394,1,0,108099,
ST1491720,1,0,100424,
ST1492770,1,0,100429,
ST1493564,1,0,100424,
ST1494024,1,0,100429,
ST1495374,1,0,100823,
ST1496060,1,0,100429,
ST1496385,1,0,100429,
ST1496845,1,0,107951,
ST1497305,1,0,103974,
ST1497465,1,0,100424,
ST1498220,1,0,100429,
ST1498444,1,0,100429,
ST1498960,1,0,100429,
ST1499254,1,0,100429,
ST1501645,1,0,100429,
ST1501685,1,0,100429,
ST1502694,1,0,100424,
ST1503800,1,0,100429,
ST1504210,1,0,100424,
